model,year,transmission,mileage,fuelType,tax,mpg,engineSize,price
GT86,2016,Manual,24089,Petrol,265,36.2,2.0,16000
GT86,2017,Manual,18615,Petrol,145,36.2,2.0,15995
GT86,2015,Manual,27469,Petrol,265,36.2,2.0,13998
GT86,2017,Manual,14736,Petrol,150,36.2,2.0,18998
GT86,2017,Manual,36284,Petrol,145,36.2,2.0,17498
GT86,2017,Manual,26919,Petrol,260,36.2,2.0,15998
GT86,2017,Manual,10456,Petrol,145,36.2,2.0,18522
GT86,2017,Manual,12340,Petrol,145,36.2,2.0,18995
GT86,2016,Manual,37999,Petrol,265,36.2,2.0,13990
GT86,2017,Manual,12597,Petrol,145,36.2,2.0,17990
GT86,2017,Manual,36100,Petrol,145,36.2,2.0,16995
GT86,2019,Manual,995,Petrol,145,33.2,2.0,23995
GT86,2018,Manual,35228,Petrol,145,36.2,2.0,18498
GT86,2019,Manual,1751,Petrol,145,33.2,2.0,23980
GT86,2017,Manual,16444,Petrol,265,36.2,2.0,17995
GT86,2014,Manual,25499,Petrol,260,36.2,2.0,12998
GT86,2019,Automatic,3934,Petrol,145,32.8,2.0,23495
GT86,2019,Semi-Auto,913,Petrol,145,32.8,2.0,23998
GT86,2017,Manual,14345,Petrol,150,36.2,2.0,17000
GT86,2018,Manual,15525,Petrol,150,36.2,2.0,19995
GT86,2016,Semi-Auto,19460,Petrol,200,39.8,2.0,15995
GT86,2018,Manual,31231,Petrol,150,36.2,2.0,18490
GT86,2020,Manual,339,Petrol,145,33.2,2.0,24990
GT86,2015,Manual,30500,Petrol,265,36.2,2.0,13981
GT86,2015,Manual,38126,Petrol,260,36.2,2.0,13991
GT86,2018,Manual,5260,Petrol,145,36.2,2.0,20695
GT86,2017,Manual,6445,Petrol,145,36.2,2.0,20995
GT86,2014,Manual,18389,Petrol,260,36.2,2.0,14999
GT86,2016,Manual,28321,Petrol,265,36.2,2.0,15000
GT86,2019,Semi-Auto,16241,Petrol,145,32.8,2.0,22200
GT86,2019,Manual,3150,Petrol,145,33.2,2.0,24990
GT86,2017,Manual,9639,Petrol,260,36.2,2.0,19500
GT86,2017,Manual,20219,Petrol,145,36.2,2.0,18250
GT86,2019,Manual,1557,Petrol,150,33.2,2.0,23995
GT86,2016,Manual,14000,Petrol,260,36.2,2.0,17500
GT86,2019,Manual,4500,Petrol,145,33.2,2.0,23997
GT86,2017,Manual,21000,Petrol,260,36.2,2.0,17102
GT86,2019,Manual,2488,Petrol,145,33.2,2.0,24995
GT86,2017,Manual,26000,Petrol,145,36.2,2.0,19995
